id;nom_president;nom_rapporteur;nom_prof_anglais;numero_salle
1;architecture conglomeration;Uruguayo Shoes;Bedfordshire;XSS b Berkshire
2;firewall back Borders;Francs-Bourgeois transmitter;b Berkshire Wooden;Hat Fresh Cheese
3;Comores;FTP;bypassing cohesive turquoise;quantify
4;pixel Architecte;discrete Frozen purple;Clothing alarm;fuchsia
5;withdrawal calculating;Bedfordshire Handmade;expedite multi-byte purple;Languedoc-Roussillon Victoire system
6;Boétie;Shirt Developpeur Berkshire;d'Azur redundant connecting;Technicien
7;protocol;Cameroun Car capacitor;Inde Chili;Optional Shirt
8;Investment a;Stand-alone multi-byte Toys;Graphic Caumartin;du invoice optical
9;Investment;state olive;program bluetooth;envisioneer Cambridgeshire
10;Beauty;Vatu;Table architecture;CSS Francs-Bourgeois
